"","HK/1/68","HK/107/71","BI/21793/72","EN/42/72","PC/1/73","BI/5930/74","SL/840/74","VI/3A/75","VI/3C/75","AM/1609/77","TE/1A/77","TE/1B/77","BI/2461/78","BA/1/79","BA/2/79","EN/496/80","NL/209/80","RD/577/80","SH/31/80","NL/233/82","NL/241/82","PH/2/82","PH/2V/82","CE/1A/84","CE/1B/84","CC/4/85","NL/330/85","NL/333/85","ST/10/85","WE/4/85","CO/2/86","LE/360/86","SH/11/87","SI/2/87","VI/7/87","NL/450/88","BE/353/89","GU/54/89","NL/620/89","HK/34/90","VI/2/90","LY/1149/91","BE/32A/92","BE/32V/92","BE/32B/92","GD/25/93","MA/G252/93","OS/2352/93","SD/9/93","JO/33/94","NL/18/94","PR/413/94","FI/338/95","GE/A9509/95","LY/2279/95","NA/933/95","NL/1/95","NL/47/95","NL/218/95","WU/359B/95","BR/8/96","NL/172/96","SP/1/96","AU/10/97","NL/286/97","SY/5A/97","SY/5B/97","SY/5HAY/97","SY/5V/97","NL/5/98","MW/10/99","PM/2007/99","NL/118/01","NL/124/01","NL/126/01","FU/411/02","NL/1/02","NL/22/03","NL/88/03"
"BI/15793/68","354","*","*","501","109","*","*","63","*","*","*","*","*","<10","*","<10","*","*","*","*","*","<10","*","*","*","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/16190/68","640","*","640","320","80","320","40","40","*","<10","*","*","<10","*","*","*","<10","<10","*","<10","<10","*","*","*","*","*","<10","*","<10","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/16398/68","1163","*","*","1163","291","*","73","89","<20","<20","<20","35","<20","*","<20","<20","*","*","*","*","*","*","*","*","<20","*","*","*","*","*","<20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/1/68","1280","1280","*","2560","53","*","<10","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","<10","*","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","*","<10","<10","*","*","*","<10","<10","<10","<10","<10","*","*","<10","<10","<10","<10","*","*","*","<10","<10","*","*","*","*","*","*","*","*","*"
"BI/808/69","320","*","*","640","120","*","80","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/908/69","1280","*","*","640","80","*","40","57","<20","<20","<20","60","<20","*","<20","<20","*","*","*","*","*","*","*","*","<20","*","*","*","*","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/17938/69","554","*","*","453","113","*","42","46","<20","<20","*","25","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","*","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/93/70","1109","*","*","640","*","*","57","46","<20","<20","*","<20","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","*","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/2668/70","320","*","*","320","80","*","24","46","<20","<20","<10","<20","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","*","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/6449/71","165","*","*","392","57","*","*","35","<20","<20","<10","<20","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","<10","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/21438/71","905","*","*","905","139","*","98","89","<20","<20","*","40","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/21801/71","905","*","*","905","160","*","98","87","<20","<20","*","35","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/107/71","*","5120","*","320","1280","*","320","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","<10","<10","*","*","<10","<10","*","*","*","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/6022/72","453","*","*","905","226","*","226","184","<20","<20","*","80","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","*","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/21793/72","80","*","1280","1280","1280","1280","640","160","*","<10","40","*","<10","<10","*","<10","<10","<10","*","<10","<10","<10","*","*","*","*","<10","*","<10","<10","*","*","*","*","*","<10","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/23290/72","80","*","*","640","640","*","320","226","80","<20","*","160","<20","*","<20","<20","*","*","*","*","*","*","*","*","<20","*","*","*","<20","<20","<20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/23337/72","80","*","*","640","640","*","320","226","80","<20","*","160","<20","*","<20","<20","*","*","*","*","*","*","*","*","<20","*","*","*","<20","<20","<20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EN/42/72","*","80","*","5120","1280","*","640","*","160","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","<10","<10","*","*","<10","<10","*","*","*","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/552/73","160","*","*","640","1280","*","640","226","80","20","*","200","20","*","<20","<20","*","*","*","*","*","*","*","*","<20","*","*","*","<20","<20","20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/748/73","52","*","*","640","1280","*","291","135","50","<20","*","160","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","<10","<10","*","<20","<10","<20","<10","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/3517/73","80","*","*","1280","1280","*","320","101","40","<20","*","160","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","<10","<20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"PC/1/73","68","<10","*","640","1227","*","640","*","320","*","*","80","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","<10","*","<10","*","*","*","<10","<10","*","*","*","<10","<10","<10","<10","<10","*","*","<10","<10","<10","<10","*","*","*","<10","<10","*","*","*","*","*","*","*","*","*"
"BI/5146/74","40","*","*","320","640","*","640","80","*","*","16","*","*","<10","*","<10","*","*","*","*","*","<10","*","*","*","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/5930/74","40","*","640","320","2560","1280","160","160","*","<10","40","*","<10","*","*","*","<10","<10","*","<10","<10","*","*","*","*","*","<10","*","<10","*","*","*","*","*","*","<10","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/5931/74","16","*","*","291","905","*","80","320","*","*","24","*","*","<10","*","<10","*","*","*","*","*","<10","*","*","*","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/7398/74","20","*","*","320","2560","*","320","80","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/9459/74","60","*","*","392","2560","*","320","254","160","20","*","160","<20","<10","<20","<10","*","*","*","*","*","<10","*","*","<20","*","<10","*","<20","<10","20","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/334/75","<10","*","*","320","1280","*","160","160","*","*","20","*","*","<10","*","<10","*","*","*","*","*","<10","*","*","*","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/1843/75","40","*","*","160","1280","*","160","160","*","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/2600/75","80","*","*","320","1280","*","2560","40","*","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/2813/75","40","*","320","320","1280","1280","160","80","*","<10","80","*","<10","*","*","*","<10","<10","*","<10","<10","*","*","*","*","*","<10","*","<10","*","*","*","*","*","*","<10","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/4273/75","40","*","*","320","640","*","2560","40","*","*","32","*","*","<10","*","<10","*","*","*","*","*","<10","*","*","*","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"VI/3/75","*","<10","*","320","1280","*","320","*","2560","*","*","320","*","<10","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","*","*","40","*","*","*","*","<10","*","*","*","*","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/628/76","<10","*","*","120","320","*","80","80","*","*","1280","*","*","40","*","480","*","*","*","*","*","240","*","*","*","*","480","*","*","480","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/1761/76","<10","*","*","320","320","*","160","1016","1280","1280","80","320","80","<10","<20","*","*","*","*","*","*","80","*","*","20","*","80","*","80","160","320","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/2271/76","<10","*","*","120","640","*","160","160","*","*","2032","*","*","80","*","480","*","*","*","*","*","320","*","*","*","*","640","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/5029/76","<10","*","*","160","160","*","40","905","1920","1280","80","320","80","*","100","<20","*","*","*","*","*","*","*","*","<20","*","*","*","80","160","320","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/5168/76","<10","*","*","160","640","*","80","1280","*","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/5657/76","<10","*","*","160","320","*","80","905","1280","1280","98","320","80","*","160","<20","*","*","*","*","*","*","*","*","20","*","*","*","80","200","240","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/6545/76","*","*","*","210","320","*","80","905","1280","1600","61","320","80","<10","100","*","*","*","*","*","*","80","*","*","20","40","80","*","80","113","320","80","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"AM/1609/77","10","*","160","320","320","640","80","2560","*","2560","105","*","<10","<10","*","80","320","<10","*","80","320","160","*","*","*","*","139","*","160","160","*","*","*","*","*","<10","*","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/3895/77","10","*","*","320","320","*","160","1016","1120","1280","77","320","80","<10","160","*","*","*","*","*","*","120","*","*","20","*","120","*","80","160","320","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"RD/5828/77","60","*","*","320","320","*","320","905","640","1280","179","120","70","*","20","<20","*","*","*","*","*","*","*","*","20","*","*","*","20","40","40","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"RD/8179/77","40","*","*","320","640","*","160","1197","1280","2560","126","320","100","*","80","<20","*","*","*","*","*","*","*","*","<20","*","*","*","80","160","320","*","*","*","<20","*","<20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"TE/1/77","*","<10","*","80","320","*","<10","*","320","*","248","2560","*","254","*","1280","*","*","*","*","*","496","320","*","*","*","453","320","*","453","*","320","40","<10","*","*","<10","<10","*","*","*","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BA/1/79","*","<10","*","<10","<10","*","<10","*","<10","*","320","1280","*","640","*","1280","*","*","*","*","1280","905","160","640","80","*","640","320","*","1055","*","226","40","40","*","320","<10","<10","*","*","*","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/209/80","<10","*","<10","15","*","80","<10","57","560","226","421","2560","3620","302","1016","*","2560","5120","640","1280","2560","844","*","*","240","960","1016","*","1431","1280","10240","640","*","80","25","*","20","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"RD/577/80","<10","*","<10","10","*","80","<10","53","640","320","716","2560","2449","226","905","2032","5120","2560","640","2560","2560","842","*","*","179","1120","1016","*","1280","972","8095","960","*","80","28","*","<20","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/4791/81","*","*","*","*","*","*","*","*","*","*","640","2560","*","453","1280","1810","*","*","640","*","*","905","*","*","*","*","*","*","*","2560","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"LY/2380/81","*","*","*","*","*","*","*","*","*","*","*","5120","*","1280","2560","5120","*","*","*","*","*","2560","*","*","*","*","*","*","*","5120","*","*","*","*","*","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"AL/4382/82","*","*","*","*","*","*","*","*","*","*","*","10240","*","1280","2560","5120","*","*","*","*","*","5120","*","*","*","*","*","*","*","5120","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"BI/10684/82","*","*","*","*","*","*","*","*","*","*","1280","2560","*","453","905","3620","*","*","960","*","*","1280","*","*","*","*","*","*","*","2560","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/233/82","*","*","<10","*","*","<10","*","20","200","226","*","640","905","*","640","640","1280","1280","*","2560","5120","*","*","*","120","*","2560","*","905","960","2560","*","*","*","40","40","20","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/241/82","*","*","<10","*","*","<10","*","40","320","172","200","1280","972","*","1120","1280","2560","640","*","1280","2560","*","*","*","113","*","1280","*","1280","1280","3620","*","*","*","40","80","35","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"PH/2/82","<10","<10","*","<10","<10","*","<10","*","<10","*","*","640","*","*","*","196","*","*","*","*","2560","*","2480","640","40","*","784","640","*","462","*","226","80","190","*","320","<10","<10","*","*","*","*","*","<10","*","<10","*","*","*","<10","<10","*","*","*","<10","<10","<10","<10","<10","*","*","<10","<10","<10","<10","*","*","*","<10","<10","*","*","*","*","*","*","*","*","*"
"OS/13676/83","*","*","*","*","*","*","*","*","*","*","*","2560","*","640","1280","5120","*","*","*","*","*","2560","*","*","*","*","*","*","*","2560","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"CE/1/84","*","*","*","*","*","*","*","*","*","*","320","*","*","40","*","*","*","*","*","*","*","160","*","1280","640","*","*","1280","*","*","*","320","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"GF/V728/85","*","*","*","*","*","*","*","*","*","*","80","*","*","40","*","240","*","*","*","*","*","320","*","*","*","*","1280","*","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/330/85","*","*","<10","*","*","<10","*","20","160","*","160","320","441","40","640","506","640","320","*","320","1280","1280","*","*","277","*","1810","*","1431","2395","8868","*","*","*","113","320","25","*","*","*","<10","<10","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/333/85","*","*","*","*","*","*","*","*","*","*","320","1280","*","40","*","*","*","*","*","*","160","160","*","1280","320","*","*","1280","*","2560","*","320","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"ST/10/85","*","*","<10","*","*","<10","*","40","80","*","*","320","358","*","640","320","640","320","*","320","2560","*","*","*","400","*","2560","*","3620","2560","8960","*","*","*","640","640","160","*","*","*","<10","80","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"WE/4/85","<10","*","*","<10","*","*","<10","20","*","*","139","*","*","50","*","333","*","*","*","*","*","557","*","*","*","640","905","640","*","2153","*","1920","*","320","554","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"CO/2/86","<10","*","<10","<10","*","<10","<10","28","120","*","160","400","226","34","960","386","640","320","*","320","2560","571","*","*","100","640","1280","640","3620","2382","10240","2560","*","120","318","1280","160","*","*","*","<10","80","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"LE/360/86","*","<10","*","<10","<10","*","<10","*","<10","*","113","*","*","*","*","160","*","*","*","*","160","320","160","160","40","*","453","320","*","1786","*","640","320","57","160","905","<10","80","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SH/11/87","*","<10","*","<10","<10","*","<10","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","160","*","*","970","320","80","1613","905","320","3880","67","*","640","*","160","*","*","<10","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SI/2/87","<10","<10","*","<10","<10","*","<10","*","<10","*","35","240","*","*","*","30","*","*","*","*","*","49","200","*","*","*","277","*","*","*","320","160","3620","1824","*","3225","247","905","640","*","40","*","*","47","*","<10","*","*","*","<10","<10","*","*","*","<10","<10","<10","<10","<10","*","*","<10","<10","<10","<10","*","*","*","<10","<10","*","*","*","*","*","*","*","*","*"
"VI/7/87","*","*","*","*","*","*","*","*","*","*","46","*","*","20","*","77","*","*","*","*","*","43","*","*","*","*","325","*","*","470","*","*","806","211","1437","1114","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"AT/3572DASH5/88","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","5120","5120","*","10240","2560","1280","10240","*","*","10240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"CC/2/88","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*","160","*","*","*","*","*","640","*","*","*","*","1016","*","*","5120","*","*","*","40","320","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EN/427/88","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","1280","*","*","*","2560","640","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/450/88","*","*","<10","*","*","<10","*","20","<20","*","52","120","*","18","160","*","<10","<10","*","<10","<10","65","*","*","140","*","556","*","1280","2774","4661","*","7760","2792","890","5653","345","10240","10240","*","1076","320","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"OK/5/88","*","*","*","*","*","*","*","*","*","*","36","*","*","20","*","80","*","*","*","*","*","46","*","*","*","*","243","*","*","254","640","*","806","422","1114","905","*","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"ST/12/88","*","*","*","*","*","*","*","*","*","*","40","*","*","40","*","80","*","*","*","*","*","40","*","*","*","*","403","*","*","*","5120","*","10240","4064","1016","*","320","10240","10240","*","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"VI/1/88","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","160","*","*","*","*","*","80","*","*","*","*","557","*","*","508","640","*","1280","453","1470","1280","*","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"AT/211/89","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","1280","1280","*","2560","320","2560","2560","*","*","10240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
