"","HK/1/68","HK/107/71","BI/21793/72","EN/42/72","PC/1/73","BI/5930/74","SL/840/74","VI/3A/75","VI/3C/75","AM/1609/77","TE/1A/77","TE/1B/77","BI/2461/78","BA/1/79","BA/2/79","EN/496/80","NL/209/80","RD/577/80","SH/31/80","NL/233/82","NL/241/82","PH/2/82","PH/2V/82","CE/1A/84","CE/1B/84","CC/4/85","NL/330/85","NL/333/85","ST/10/85","WE/4/85","CO/2/86","LE/360/86","SH/11/87","SI/2/87","VI/7/87","NL/450/88","BE/353/89","GU/54/89","NL/620/89","HK/34/90","VI/2/90","LY/1149/91","BE/32A/92","BE/32V/92","BE/32B/92","GD/25/93","MA/G252/93","OS/2352/93","SD/9/93","JO/33/94","NL/18/94","PR/413/94","FI/338/95","GE/A9509/95","LY/2279/95","NA/933/95","NL/1/95","NL/47/95","NL/218/95","WU/359B/95","BR/8/96","NL/172/96","SP/1/96","AU/10/97","NL/286/97","SY/5A/97","SY/5B/97","SY/5HAY/97","SY/5V/97","NL/5/98","MW/10/99","PM/2007/99","NL/118/01","NL/124/01","NL/126/01","FU/411/02","NL/1/02","NL/22/03","NL/88/03"
"NL/18/94","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","400","*","*","400","19","*","*","*","*","3840","*","400","*","2880","*","733","69","63","640","210","*","*","214","53","<10","253","*","*","*","<10","*","*","*","*","*","*","*","*","*","*"
"SA/15/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","554","*","80","554","*","160","2240","320","*","2024","5120","480","*","10240","*","960","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SA/25/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","599","*","80","320","*","80","5120","160","*","2560","6400","480","*","7680","*","960","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/338/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","101","160","*","*","*","320","160","180","278","2560","640","1177","1016","*","80","139","640","640","*","*","733","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/339/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","<40","40","*","*","*","*","80","101","462","1920","*","640","640","1109","*","226","320","1280","*","*","280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/381/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","<40","70","*","*","640","*","*","240","454","1280","*","749","489","1109","100","277","531","867","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"GE/A9509/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","113","*","57","80","*","*","*","320","226","263","337","60","320","640","1280","254","40","320","160","806","*","*","120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/3/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","80","640","*","*","733","*","1280","1943","1358","160","*","1920","*","280","*","2560","*","*","*","*","560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/32/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","277","*","80","240","*","*","2930","640","1810","1595","3225","160","2560","1280","*","640","*","5120","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/38/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","480","*","80","480","*","*","960","*","*","960","1280","320","*","1280","2560","960","80","1280","640","1280","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/49/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","120","60","*","*","320","*","*","320","762","3200","*","1037","960","3840","80","800","1920","1280","*","*","960","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/55/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","73","1120","*","*","200","*","*","1920","323","800","*","826","584","558","567","221","489","315","*","1280","1171","1280","320","*","*","80","*","*","1280","*","*","*","*","*","*","*","*","*"
"LY/2279/95","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","88","*","*","*","*","*","*","320","497","587","*","1071","618","794","124","459","770","403","*","640","512","204","*","480","*","320","*","120","366","*","*","*","*","*","*","*","*","*"
"NA/933/95","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","140","*","98","320","*","*","85","*","*","420","*","*","*","*","413","*","613","140","366","355","*","*","784","1600","55","480","160","80","*","90","1817","*","*","*","*","*","*","*","*","*"
"NL/1/95","<10","*","<10","*","<10","<10","*","*","*","<10","*","*","<10","*","*","*","<10","<10","*","<10","<10","*","<10","*","*","*","<10","*","<10","*","*","*","*","<10","*","<10","<10","*","*","320","<10","74","*","*","*","1402","453","1301","1092","1607","560","1280","1613","2833","529","*","4318","269","3763","*","92","*","*","*","20","*","<40","*","<10","101","*","*","*","*","*","*","*","*","*"
"NL/271/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<5","*","80","13","*","*","280","*","*","70","243","3840","*","599","320","4480","160","320","1280","640","*","*","960","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"ST/506/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","160","*","*","1280","160","392","442","865","240","640","2024","2560","800","80","602","640","1280","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"VI/75/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","40","320","*","*","1280","*","*","1280","549","320","*","792","800","1120","50","720","280","960","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"WU/359/95","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","52","*","*","*","*","*","*","*","195","*","*","427","370","177","481","89","185","167","2560","970","443","861","320","*","113","320","60","*","1810","20","*","*","*","*","*","*","*","*"
"BR/8/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","100","*","*","100","*","*","120","*","*","198","71","280","*","*","113","162","389","*","*","133","*","640","908","*","640","*","*","320","*","*","160","*","*","*","*","*","*","*","*","*"
"GE/3958/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","160","120","*","*","50","*","*","320","524","320","*","757","757","610","1214","370","757","559","*","2560","1208","2560","1280","*","*","320","*","*","5120","*","*","*","*","*","*","*","*","*"
"HK/20/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","160","80","*","*","80","*","*","320","269","320","*","554","640","614","473","195","640","336","*","1280","1199","1280","640","*","*","1002","*","*","1280","*","*","*","*","*","*","*","*","*"
"HK/42/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","120","*","80","90","*","*","200","*","*","320","1054","160","*","1358","1280","287","48","1324","320","1233","*","153","92","*","320","*","*","<40","*","*","80","*","*","*","*","*","*","*","*","*"
"HK/357/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","100","*","160","120","*","*","160","*","*","400","366","400","*","784","640","960","320","160","640","640","*","*","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/358/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","60","*","80","60","*","*","40","*","*","240","202","240","*","240","320","320","240","120","160","160","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/434/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","<40","80","*","*","2240","*","*","320","1224","140","*","423","640","183","*","453","160","905","*","<40","59","<40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"LY/1781/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","100","*","*","200","*","*","100","*","*","640","240","360","*","560","*","569","905","320","*","320","*","*","614","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/91/96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","160","40","*","*","720","*","*","720","*","80","*","784","1280","200","*","1280","640","2560","*","*","60","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
